# === Skript's variable storage ===
# Please do not modify this file manually!
#
# version: 2.2-dev32b

1025.agree, long, 0000000000000000
1025.coin, long, 0000000000000001
1025.firstjoin, long, 0000000000000001
1025.totalc, long, 0000000000000000
1025.totalm, long, 0000000000000000
1233211234567.agree, long, 0000000000000000
1233211234567.coin, long, 0000000000000001
1233211234567.firstjoin, long, 0000000000000001
1233211234567.totalc, long, 0000000000000000
1233211234567.totalm, long, 0000000000000000
12353645754.cash, long, 0000000000000000
123grunt.agree, long, 0000000000000000
123grunt.coin, long, 0000000000000001
123grunt.firstjoin, long, 0000000000000001
123grunt.totalc, long, 0000000000000000
123grunt.totalm, long, 0000000000000000
13974823596.agree, long, 0000000000000000
13974823596.coin, long, 0000000000000001
13974823596.firstjoin, long, 0000000000000001
13974823596.totalc, long, 0000000000000000
13974823596.totalm, long, 0000000000000000
146_tan.agree, long, 0000000000000000
146_tan.coin, long, 0000000000000001
146_tan.firstjoin, long, 0000000000000001
146_tan.totalc, long, 0000000000000000
146_tan.totalm, long, 0000000000000000
1824354.agree, long, 0000000000000000
1824354.coin, long, 0000000000000001
1824354.firstjoin, long, 0000000000000001
1824354.totalc, long, 0000000000000000
1824354.totalm, long, 0000000000000000
18854835985.agree, long, 0000000000000000
18854835985.coin, long, 0000000000000001
18854835985.firstjoin, long, 0000000000000001
18854835985.totalc, long, 0000000000000000
18854835985.totalm, long, 0000000000000000
1v__v1.cash, long, 0000000000000000
2132.agree, long, 0000000000000000
2132.coin, long, 0000000000000001
2132.firstjoin, long, 0000000000000001
2132.totalc, long, 0000000000000000
2132.totalm, long, 0000000000000000
21498545454.cash, long, 0000000000000000
222111.agree, long, 0000000000000000
222111.coin, long, 0000000000000001
222111.firstjoin, long, 0000000000000001
222111.totalc, long, 0000000000000000
222111.totalm, long, 0000000000000000
2457194239.cash, long, 0000000000000000
324457675.agree, long, 0000000000000000
324457675.coin, long, 0000000000000001
324457675.firstjoin, long, 0000000000000001
324457675.totalc, long, 0000000000000000
324457675.totalm, long, 0000000000000000
324457677.agree, long, 0000000000000000
324457677.coin, long, 0000000000000001
324457677.firstjoin, long, 0000000000000001
324457677.totalc, long, 0000000000000000
324457677.totalm, long, 0000000000000000
3257910484.agree, long, 0000000000000000
